gene_id	cell_cluster_0	cell_cluster_1	cell_cluster_2	cell_cluster_3	cell_cluster_4	cell_cluster_5	cell_cluster_6	cell_cluster_7	cell_cluster_8	cell_cluster_9	cell_cluster_10	cell_cluster_11
1	MT-atp6	0.0739821306765217	0.0015223278379394	-0.0662059731091421	-0.0386241853414723	-0.0328504576472884	0.00514470458988772	-0.0261620052986496	0.00293002021190353	0.0100569723535441	-0.05887279558727	-0.0120457968196918	-0.014181613219611
2	MT-atp8	0.145765515776598	-0.0489131107716173	-0.0446195407927433	-0.102215891521465	-0.102272689296938	-0.0116341858322289	0.00846767558573014	0.0406061964189101	-0.0511209837253184	-0.0645397542222516	0.00391222746527975	-0.0621520625221788
3	MT-cob	0.00587431385872217	-0.0084419330507105	0.0583850631097584	-0.0681046112691561	-0.0428722955437291	0.147761182031569	-0.0482490218100952	0.00866526630542863	-0.0335753551352583	-0.0820168109593153	-0.050967060094912	-0.0219944752836108
4	MT-cox1	-0.259225748742863	-0.0260524756906224	0.171692618507414	-0.124072647508105	-0.0490739567422196	0.735829503601097	-0.0825968731360907	0.0647984905936474	-0.00379316856815826	-0.0607971179596667	0.111537894300569	-0.119094275187849
5	MT-cox2	-0.238364798497792	-0.119379257055884	0.190324027082948	-0.0451159801718457	-0.0155362819823943	0.562027031149104	-0.0125408025343781	0.159744238203085	0.00120823137632042	-0.0155526116697167	0.000438413657101622	0.183091295514885
6	MT-cox3	0.112362671786947	-0.0108146118780897	-0.0599178197934025	-0.0450663264317405	-0.0468440533423748	-0.0265908248841085	-0.0382716574379832	-0.0254803323144264	-0.0687266752158249	-0.0344477270043042	-0.0474146775905409	-0.0409777094683046
7	MT-nad1	0.021118614402213	0.01573540255051	0.0484139535116841	-0.0506254268825296	-0.0177250764462127	0.0265700191616942	-0.0398183450352977	-0.0113473320893932	-0.0332612007862106	-0.0957712755954673	-0.0685338139795331	-0.0584875916291728
8	MT-nad2	0.180132305938019	-0.0385429980245331	-0.022401186012139	-0.173499039811	-0.227422549372359	0.126626862116879	0.0274004887200738	-0.00215995443974004	-0.0250230540202065	-0.162426985781462	-0.0542718987125895	-0.0579331283448435
9	MT-nad3	-0.00188436332022816	0.00140237280885372	0.0159246666840615	-0.00750407021151685	-0.00581937473789812	-0.00220054065428714	0.00391524885338246	0.0240476794589577	-0.0183269682139029	-0.0222533371324315	-0.025104359115281	0.0224763527202589
10	MT-nad4	-0.00624049445294583	0.0602527057146237	0.103146535384602	-0.12661727346995	-0.0638302792741323	0.15700613243568	-0.0360708495103671	0.0157044181203765	-0.11742154171437	-0.108446272057577	-0.0824730726066537	-0.199284893500134
11	MT-nad4l	0.0849009802941965	-0.0063355723078069	-0.0182040641958227	-0.0816652232535967	-0.0796013870615047	-0.00830524621625001	0.02364295851905	0.0547262318546369	-0.0392208410268701	-0.0891202539712334	0.0204854009259323	-0.0491929039219395
12	MT-nad5	-0.312745894129412	-0.0370623325467445	0.224484990185947	-0.140777240425616	0.00815495415128442	0.732541509213704	0.0413215655965935	0.121466855829877	-0.0571332280897279	-0.15490044194408	-0.0969671675131867	0.105955300172738
13	MT-nad6	-0.187751791844964	0.0479897118218899	0.345256321755162	-0.187364802790658	-0.134352618043088	0.384124922375418	0.0168022676196011	-0.0637462160311455	-0.117741905345935	-0.075824214898407	0.0349504957475877	0.0197111109150565
14	MT-polB	-0.103660186737233	-0.00447518844457107	0.0152625665299233	-0.0484457218180882	0.0106960751741572	0.342154064937264	-0.0168684465090778	0.0303116247706769	0.00532766188055056	0.0268937118343158	0.0268238891177889	0.0532866885413877
15	MT-rrnL	0.204293834315127	0.0309245503311057	-0.166010752015646	-0.230862499574566	-0.249676283940957	0.402322811100581	-0.0774749257636662	0.0175162713489474	-0.108638099910373	-0.17583426332686	-0.191061249094922	-0.294697102605502
16	MT-rrnS	0.234203943709026	0.0347437874160059	-0.0635723928300838	-0.222393298165329	-0.269018552387171	0.0772257923606166	-0.0159510029122076	0.0120472741712776	-0.0795767023587981	-0.130575383871969	-0.0965583516359132	-0.398899751765307
17	MT-tRNA-Asp-atc	0.00123532152123986	-0.00218661370546546	-0.00146327403799632	-0.0016549834666351	-0.000190663839309161	0.000240278236590963	0.00168824943303086	0.00431988293676185	0.00215589813910252	0.00119283052449172	0.00339869682839921	-0.00349228238768452
18	MT-tRNA-Met-cat	0.000708356860997843	-0.00131503778511784	-0.000517920135674946	0.00124456009122605	0.00211071535176547	-0.000982299035603089	-0.00118133773619565	-0.00117569571054517	-0.00116347098223839	-0.00115976630683466	-0.00115287394329316	-0.00114404273730233
19	MT-tRNA-Trp-tca	0.00737378753695735	-4.69697537728506e-05	-0.00875601168801112	-0.00877377468371658	-0.00457354671951623	0.00407130209569941	0.00754384020500055	-0.00604001807725235	0.00180240940254119	0.0189616996500927	-0.00803372597655162	0.00110510168935817
20	Res-000001	-0.00305697254388054	0.00365004763147195	-0.00390930894029942	-0.00345106725041311	0.00781956629280402	0.00398279020744064	0.00575649501416585	-0.0037989508933643	-0.00313705966903552	0.0018716994651877	0.0031103383414666	-0.00142234507396776
21	Res-000002	-0.0181370647391799	0.176752156296824	-0.0499445930500882	-0.00862541711401232	-0.0544014944825957	-0.0507790089800643	-0.0997317845234617	-0.0126297635071414	0.0457625613005609	-0.0433848510593642	-0.0151721886119456	-0.0134545465451948
22	Res-000003	0.0568315167055293	-0.023670749898691	-0.186253804626488	-0.374451953908614	-0.299128132249069	1.13925775362115	-0.120646871071179	-0.134689431423259	-0.261657693025674	-0.322879305193321	-0.209594951978165	0.0217240779369614
23	Res-000004	-0.118227719311094	0.0540316143362299	-0.127343067422847	0.240288663034645	-0.0289155063365296	0.0323915105508673	-0.131407856710352	0.358271363407115	0.0374986051888808	0.0276417092334478	-0.186165321669621	-0.14564358428511
24	Res-000005	-0.00531141893445333	0.0489505438036557	-0.0252945475263694	0.00242315834025669	-0.029221260984006	-0.0476301411505179	-0.0611729495825828	0.0909995363728218	0.0716814330340219	0.0142645001933773	-0.0227881446723692	0.00673651664558447
