"gene1"	"gene2"
"AM1_000418-T1"	"XLOC_000723"
"AM1_000418-T1"	"XLOC_002625"
"AM1_000418-T1"	"XLOC_002671"
"AM1_000418-T1"	"XLOC_003740"
"AM1_000418-T1"	"XLOC_004178"
"AM1_000418-T1"	"XLOC_007122"
"AM1_000418-T1"	"XLOC_007558"
"AM1_000418-T1"	"XLOC_008632"
"AM1_000418-T1"	"XLOC_010438"
"AM1_000418-T1"	"XLOC_011116"
"AM1_000418-T1"	"XLOC_012545"
"AM1_000418-T1"	"XLOC_013202"
"AM1_000418-T1"	"XLOC_013581"
"AM1_000418-T1"	"XLOC_013818"
"AM1_000418-T1"	"XLOC_017291"
"AM1_000418-T1"	"XLOC_017742"
"AM1_000418-T1"	"XLOC_018746"
"AM1_000418-T1"	"XLOC_018776"
"AM1_000418-T1"	"XLOC_021876"
"AM1_000418-T1"	"XLOC_031843"
"AM1_000418-T1"	"XLOC_036857"
"AM1_000418-T1"	"XLOC_038021"
"AM1_000418-T1"	"XLOC_044443"
"AM1_000678-T1"	"XLOC_000723"
"AM1_000678-T1"	"XLOC_002625"
"AM1_000678-T1"	"XLOC_002671"
"AM1_000678-T1"	"XLOC_003740"
"AM1_000678-T1"	"XLOC_004178"
"AM1_000678-T1"	"XLOC_007122"
"AM1_000678-T1"	"XLOC_007558"
"AM1_000678-T1"	"XLOC_008632"
"AM1_000678-T1"	"XLOC_010438"
"AM1_000678-T1"	"XLOC_011116"
"AM1_000678-T1"	"XLOC_012545"
"AM1_000678-T1"	"XLOC_013202"
"AM1_000678-T1"	"XLOC_013581"
"AM1_000678-T1"	"XLOC_013818"
"AM1_000678-T1"	"XLOC_017291"
"AM1_000678-T1"	"XLOC_017742"
"AM1_000678-T1"	"XLOC_018746"
"AM1_000678-T1"	"XLOC_018776"
"AM1_000678-T1"	"XLOC_021876"
"AM1_000678-T1"	"XLOC_031843"
"AM1_000678-T1"	"XLOC_036857"
"AM1_000678-T1"	"XLOC_038021"
"AM1_000678-T1"	"XLOC_044443"
"AM1_000960-T1"	"XLOC_000723"
"AM1_000960-T1"	"XLOC_002625"
"AM1_000960-T1"	"XLOC_002671"
"AM1_000960-T1"	"XLOC_003740"
"AM1_000960-T1"	"XLOC_004178"
"AM1_000960-T1"	"XLOC_007122"
"AM1_000960-T1"	"XLOC_007558"
"AM1_000960-T1"	"XLOC_008632"
"AM1_000960-T1"	"XLOC_010438"
"AM1_000960-T1"	"XLOC_011116"
"AM1_000960-T1"	"XLOC_012545"
"AM1_000960-T1"	"XLOC_013202"
"AM1_000960-T1"	"XLOC_013581"
"AM1_000960-T1"	"XLOC_013818"
"AM1_000960-T1"	"XLOC_017291"
"AM1_000960-T1"	"XLOC_017742"
"AM1_000960-T1"	"XLOC_018746"
"AM1_000960-T1"	"XLOC_018776"
"AM1_000960-T1"	"XLOC_021876"
"AM1_000960-T1"	"XLOC_031843"
"AM1_000960-T1"	"XLOC_036857"
"AM1_000960-T1"	"XLOC_038021"
"AM1_000960-T1"	"XLOC_044443"
"AM1_000961-T1"	"XLOC_000723"
"AM1_000961-T1"	"XLOC_002625"
"AM1_000961-T1"	"XLOC_002671"
"AM1_000961-T1"	"XLOC_003740"
"AM1_000961-T1"	"XLOC_004178"
"AM1_000961-T1"	"XLOC_007122"
"AM1_000961-T1"	"XLOC_007558"
"AM1_000961-T1"	"XLOC_008632"
"AM1_000961-T1"	"XLOC_010438"
"AM1_000961-T1"	"XLOC_011116"
"AM1_000961-T1"	"XLOC_012545"
"AM1_000961-T1"	"XLOC_013202"
"AM1_000961-T1"	"XLOC_013581"
"AM1_000961-T1"	"XLOC_013818"
"AM1_000961-T1"	"XLOC_017291"
"AM1_000961-T1"	"XLOC_017742"
"AM1_000961-T1"	"XLOC_018746"
"AM1_000961-T1"	"XLOC_018776"
"AM1_000961-T1"	"XLOC_021876"
"AM1_000961-T1"	"XLOC_031843"
"AM1_000961-T1"	"XLOC_036857"
"AM1_000961-T1"	"XLOC_038021"
"AM1_000961-T1"	"XLOC_044443"
"AM1_001149-T1"	"XLOC_000723"
"AM1_001149-T1"	"XLOC_002625"
"AM1_001149-T1"	"XLOC_002671"
"AM1_001149-T1"	"XLOC_003740"
"AM1_001149-T1"	"XLOC_004178"
"AM1_001149-T1"	"XLOC_007122"
"AM1_001149-T1"	"XLOC_007558"
"AM1_001149-T1"	"XLOC_008632"
"AM1_001149-T1"	"XLOC_010438"
"AM1_001149-T1"	"XLOC_011116"
"AM1_001149-T1"	"XLOC_012545"
"AM1_001149-T1"	"XLOC_013202"
"AM1_001149-T1"	"XLOC_013581"
"AM1_001149-T1"	"XLOC_013818"
"AM1_001149-T1"	"XLOC_017291"
"AM1_001149-T1"	"XLOC_017742"
"AM1_001149-T1"	"XLOC_018746"
"AM1_001149-T1"	"XLOC_018776"
"AM1_001149-T1"	"XLOC_021876"
"AM1_001149-T1"	"XLOC_031843"
"AM1_001149-T1"	"XLOC_036857"
"AM1_001149-T1"	"XLOC_038021"
"AM1_001149-T1"	"XLOC_044443"
"AM1_001600-T1"	"XLOC_000723"
"AM1_001600-T1"	"XLOC_002625"
"AM1_001600-T1"	"XLOC_002671"
"AM1_001600-T1"	"XLOC_003740"
"AM1_001600-T1"	"XLOC_004178"
"AM1_001600-T1"	"XLOC_007122"
"AM1_001600-T1"	"XLOC_007558"
"AM1_001600-T1"	"XLOC_008632"
"AM1_001600-T1"	"XLOC_010438"
"AM1_001600-T1"	"XLOC_011116"
"AM1_001600-T1"	"XLOC_012545"
"AM1_001600-T1"	"XLOC_013202"
"AM1_001600-T1"	"XLOC_013581"
"AM1_001600-T1"	"XLOC_013818"
"AM1_001600-T1"	"XLOC_017291"
"AM1_001600-T1"	"XLOC_017742"
"AM1_001600-T1"	"XLOC_018746"
"AM1_001600-T1"	"XLOC_018776"
"AM1_001600-T1"	"XLOC_021876"
"AM1_001600-T1"	"XLOC_031843"
"AM1_001600-T1"	"XLOC_036857"
"AM1_001600-T1"	"XLOC_038021"
"AM1_001600-T1"	"XLOC_044443"
"AM1_001601-T1"	"XLOC_000723"
"AM1_001601-T1"	"XLOC_002625"
"AM1_001601-T1"	"XLOC_002671"
"AM1_001601-T1"	"XLOC_003740"
"AM1_001601-T1"	"XLOC_004178"
"AM1_001601-T1"	"XLOC_007122"
"AM1_001601-T1"	"XLOC_007558"
"AM1_001601-T1"	"XLOC_008632"
"AM1_001601-T1"	"XLOC_010438"
"AM1_001601-T1"	"XLOC_011116"
"AM1_001601-T1"	"XLOC_012545"
"AM1_001601-T1"	"XLOC_013202"
"AM1_001601-T1"	"XLOC_013581"
"AM1_001601-T1"	"XLOC_013818"
"AM1_001601-T1"	"XLOC_017291"
"AM1_001601-T1"	"XLOC_017742"
"AM1_001601-T1"	"XLOC_018746"
"AM1_001601-T1"	"XLOC_018776"
"AM1_001601-T1"	"XLOC_021876"
"AM1_001601-T1"	"XLOC_031843"
"AM1_001601-T1"	"XLOC_036857"
"AM1_001601-T1"	"XLOC_038021"
"AM1_001601-T1"	"XLOC_044443"
"AM1_001604-T1"	"XLOC_000723"
"AM1_001604-T1"	"XLOC_002625"
"AM1_001604-T1"	"XLOC_002671"
"AM1_001604-T1"	"XLOC_003740"
"AM1_001604-T1"	"XLOC_004178"
"AM1_001604-T1"	"XLOC_007122"
"AM1_001604-T1"	"XLOC_007558"
"AM1_001604-T1"	"XLOC_008632"
"AM1_001604-T1"	"XLOC_010438"
"AM1_001604-T1"	"XLOC_011116"
"AM1_001604-T1"	"XLOC_012545"
"AM1_001604-T1"	"XLOC_013202"
"AM1_001604-T1"	"XLOC_013581"
"AM1_001604-T1"	"XLOC_013818"
"AM1_001604-T1"	"XLOC_017291"
"AM1_001604-T1"	"XLOC_017742"
"AM1_001604-T1"	"XLOC_018746"
"AM1_001604-T1"	"XLOC_018776"
"AM1_001604-T1"	"XLOC_021876"
"AM1_001604-T1"	"XLOC_031843"
"AM1_001604-T1"	"XLOC_036857"
"AM1_001604-T1"	"XLOC_038021"
"AM1_001604-T1"	"XLOC_044443"
"AM1_004746-T1"	"XLOC_000723"
"AM1_004746-T1"	"XLOC_002625"
"AM1_004746-T1"	"XLOC_002671"
"AM1_004746-T1"	"XLOC_003740"
"AM1_004746-T1"	"XLOC_004178"
"AM1_004746-T1"	"XLOC_007122"
"AM1_004746-T1"	"XLOC_007558"
"AM1_004746-T1"	"XLOC_008632"
"AM1_004746-T1"	"XLOC_010438"
"AM1_004746-T1"	"XLOC_011116"
"AM1_004746-T1"	"XLOC_012545"
"AM1_004746-T1"	"XLOC_013202"
"AM1_004746-T1"	"XLOC_013581"
"AM1_004746-T1"	"XLOC_013818"
"AM1_004746-T1"	"XLOC_017291"
"AM1_004746-T1"	"XLOC_017742"
"AM1_004746-T1"	"XLOC_018746"
"AM1_004746-T1"	"XLOC_018776"
"AM1_004746-T1"	"XLOC_021876"
"AM1_004746-T1"	"XLOC_031843"
"AM1_004746-T1"	"XLOC_036857"
"AM1_004746-T1"	"XLOC_038021"
"AM1_004746-T1"	"XLOC_044443"
"AM1_004842-T1"	"XLOC_000723"
"AM1_004842-T1"	"XLOC_002625"
"AM1_004842-T1"	"XLOC_002671"
"AM1_004842-T1"	"XLOC_003740"
"AM1_004842-T1"	"XLOC_004178"
"AM1_004842-T1"	"XLOC_007122"
"AM1_004842-T1"	"XLOC_007558"
"AM1_004842-T1"	"XLOC_008632"
"AM1_004842-T1"	"XLOC_010438"
"AM1_004842-T1"	"XLOC_011116"
"AM1_004842-T1"	"XLOC_012545"
"AM1_004842-T1"	"XLOC_013202"
"AM1_004842-T1"	"XLOC_013581"
"AM1_004842-T1"	"XLOC_013818"
"AM1_004842-T1"	"XLOC_017291"
"AM1_004842-T1"	"XLOC_017742"
"AM1_004842-T1"	"XLOC_018746"
"AM1_004842-T1"	"XLOC_018776"
"AM1_004842-T1"	"XLOC_021876"
"AM1_004842-T1"	"XLOC_031843"
"AM1_004842-T1"	"XLOC_036857"
"AM1_004842-T1"	"XLOC_038021"
"AM1_004842-T1"	"XLOC_044443"
"AM1_005242-T1"	"XLOC_000723"
"AM1_005242-T1"	"XLOC_002625"
"AM1_005242-T1"	"XLOC_002671"
"AM1_005242-T1"	"XLOC_003740"
"AM1_005242-T1"	"XLOC_004178"
"AM1_005242-T1"	"XLOC_007122"
"AM1_005242-T1"	"XLOC_007558"
"AM1_005242-T1"	"XLOC_008632"
"AM1_005242-T1"	"XLOC_010438"
"AM1_005242-T1"	"XLOC_011116"
"AM1_005242-T1"	"XLOC_012545"
"AM1_005242-T1"	"XLOC_013202"
"AM1_005242-T1"	"XLOC_013581"
"AM1_005242-T1"	"XLOC_013818"
"AM1_005242-T1"	"XLOC_017291"
"AM1_005242-T1"	"XLOC_017742"
"AM1_005242-T1"	"XLOC_018746"
"AM1_005242-T1"	"XLOC_018776"
"AM1_005242-T1"	"XLOC_021876"
"AM1_005242-T1"	"XLOC_031843"
"AM1_005242-T1"	"XLOC_036857"
"AM1_005242-T1"	"XLOC_038021"
"AM1_005242-T1"	"XLOC_044443"
"AM1_005243-T1"	"XLOC_000723"
"AM1_005243-T1"	"XLOC_002625"
"AM1_005243-T1"	"XLOC_002671"
"AM1_005243-T1"	"XLOC_003740"
"AM1_005243-T1"	"XLOC_004178"
"AM1_005243-T1"	"XLOC_007122"
"AM1_005243-T1"	"XLOC_007558"
"AM1_005243-T1"	"XLOC_008632"
"AM1_005243-T1"	"XLOC_010438"
"AM1_005243-T1"	"XLOC_011116"
"AM1_005243-T1"	"XLOC_012545"
"AM1_005243-T1"	"XLOC_013202"
"AM1_005243-T1"	"XLOC_013581"
"AM1_005243-T1"	"XLOC_013818"
"AM1_005243-T1"	"XLOC_017291"
"AM1_005243-T1"	"XLOC_017742"
"AM1_005243-T1"	"XLOC_018746"
"AM1_005243-T1"	"XLOC_018776"
"AM1_005243-T1"	"XLOC_021876"
"AM1_005243-T1"	"XLOC_031843"
"AM1_005243-T1"	"XLOC_036857"
"AM1_005243-T1"	"XLOC_038021"
"AM1_005243-T1"	"XLOC_044443"
"AM1_005471-T1"	"XLOC_000723"
"AM1_005471-T1"	"XLOC_002625"
"AM1_005471-T1"	"XLOC_002671"
"AM1_005471-T1"	"XLOC_003740"
"AM1_005471-T1"	"XLOC_004178"
"AM1_005471-T1"	"XLOC_007122"
"AM1_005471-T1"	"XLOC_007558"
"AM1_005471-T1"	"XLOC_008632"
"AM1_005471-T1"	"XLOC_010438"
"AM1_005471-T1"	"XLOC_011116"
"AM1_005471-T1"	"XLOC_012545"
"AM1_005471-T1"	"XLOC_013202"
