"gene1"	"gene2"
"AM1_000418-T1"	"NVE281"
"AM1_000418-T1"	"v1g107155"
"AM1_000418-T1"	"v1g107528"
"AM1_000418-T1"	"v1g108972"
"AM1_000418-T1"	"v1g109792"
"AM1_000418-T1"	"v1g113867"
"AM1_000418-T1"	"v1g113913"
"AM1_000418-T1"	"v1g118635"
"AM1_000418-T1"	"v1g123220"
"AM1_000418-T1"	"v1g129798"
"AM1_000418-T1"	"v1g134301"
"AM1_000418-T1"	"v1g138098"
"AM1_000418-T1"	"v1g140550"
"AM1_000418-T1"	"v1g147942"
"AM1_000418-T1"	"v1g150225"
"AM1_000418-T1"	"v1g150226"
"AM1_000418-T1"	"v1g152370"
"AM1_000418-T1"	"v1g153808"
"AM1_000418-T1"	"v1g198298"
"AM1_000418-T1"	"v1g214077"
"AM1_000418-T1"	"v1g216157"
"AM1_000418-T1"	"v1g218034"
"AM1_000418-T1"	"v1g219569"
"AM1_000418-T1"	"v1g222877"
"AM1_000418-T1"	"v1g228530"
"AM1_000418-T1"	"v1g228654"
"AM1_000418-T1"	"v1g48984"
"AM1_000418-T1"	"v1g78851"
"AM1_000418-T1"	"v1g79044"
"AM1_000418-T1"	"v1g80480"
"AM1_000418-T1"	"v1g81419"
"AM1_000418-T1"	"v1g81906"
"AM1_000418-T1"	"v1g82053"
"AM1_000418-T1"	"v1g87498"
"AM1_000418-T1"	"v1g90597"
"AM1_000418-T1"	"v1g92024"
"AM1_000418-T1"	"v1g92082"
"AM1_000418-T1"	"v1g92090"
"AM1_000418-T1"	"v1g92150"
"AM1_000418-T1"	"v1g92258"
"AM1_000418-T1"	"v1g92262"
"AM1_000418-T1"	"v1g92265"
"AM1_000418-T1"	"v1g92266"
"AM1_000418-T1"	"v1g94623"
"AM1_000418-T1"	"v1g95608"
"AM1_000418-T1"	"v1g95664"
"AM1_000418-T1"	"v1g95732"
"AM1_000418-T1"	"v1g95788"
"AM1_000418-T1"	"v1g95828"
"AM1_000678-T1"	"NVE281"
"AM1_000678-T1"	"v1g107155"
"AM1_000678-T1"	"v1g107528"
"AM1_000678-T1"	"v1g108972"
"AM1_000678-T1"	"v1g109792"
"AM1_000678-T1"	"v1g113867"
"AM1_000678-T1"	"v1g113913"
"AM1_000678-T1"	"v1g118635"
"AM1_000678-T1"	"v1g123220"
"AM1_000678-T1"	"v1g129798"
"AM1_000678-T1"	"v1g134301"
"AM1_000678-T1"	"v1g138098"
"AM1_000678-T1"	"v1g140550"
"AM1_000678-T1"	"v1g147942"
"AM1_000678-T1"	"v1g150225"
"AM1_000678-T1"	"v1g150226"
"AM1_000678-T1"	"v1g152370"
"AM1_000678-T1"	"v1g153808"
"AM1_000678-T1"	"v1g198298"
"AM1_000678-T1"	"v1g214077"
"AM1_000678-T1"	"v1g216157"
"AM1_000678-T1"	"v1g218034"
"AM1_000678-T1"	"v1g219569"
"AM1_000678-T1"	"v1g222877"
"AM1_000678-T1"	"v1g228530"
"AM1_000678-T1"	"v1g228654"
"AM1_000678-T1"	"v1g48984"
"AM1_000678-T1"	"v1g78851"
"AM1_000678-T1"	"v1g79044"
"AM1_000678-T1"	"v1g80480"
"AM1_000678-T1"	"v1g81419"
"AM1_000678-T1"	"v1g81906"
"AM1_000678-T1"	"v1g82053"
"AM1_000678-T1"	"v1g87498"
"AM1_000678-T1"	"v1g90597"
"AM1_000678-T1"	"v1g92024"
"AM1_000678-T1"	"v1g92082"
"AM1_000678-T1"	"v1g92090"
"AM1_000678-T1"	"v1g92150"
"AM1_000678-T1"	"v1g92258"
"AM1_000678-T1"	"v1g92262"
"AM1_000678-T1"	"v1g92265"
"AM1_000678-T1"	"v1g92266"
"AM1_000678-T1"	"v1g94623"
"AM1_000678-T1"	"v1g95608"
"AM1_000678-T1"	"v1g95664"
"AM1_000678-T1"	"v1g95732"
"AM1_000678-T1"	"v1g95788"
"AM1_000678-T1"	"v1g95828"
"AM1_000960-T1"	"NVE281"
"AM1_000960-T1"	"v1g107155"
"AM1_000960-T1"	"v1g107528"
"AM1_000960-T1"	"v1g108972"
"AM1_000960-T1"	"v1g109792"
"AM1_000960-T1"	"v1g113867"
"AM1_000960-T1"	"v1g113913"
"AM1_000960-T1"	"v1g118635"
"AM1_000960-T1"	"v1g123220"
"AM1_000960-T1"	"v1g129798"
"AM1_000960-T1"	"v1g134301"
"AM1_000960-T1"	"v1g138098"
"AM1_000960-T1"	"v1g140550"
"AM1_000960-T1"	"v1g147942"
"AM1_000960-T1"	"v1g150225"
"AM1_000960-T1"	"v1g150226"
"AM1_000960-T1"	"v1g152370"
"AM1_000960-T1"	"v1g153808"
"AM1_000960-T1"	"v1g198298"
"AM1_000960-T1"	"v1g214077"
"AM1_000960-T1"	"v1g216157"
"AM1_000960-T1"	"v1g218034"
"AM1_000960-T1"	"v1g219569"
"AM1_000960-T1"	"v1g222877"
"AM1_000960-T1"	"v1g228530"
"AM1_000960-T1"	"v1g228654"
"AM1_000960-T1"	"v1g48984"
"AM1_000960-T1"	"v1g78851"
"AM1_000960-T1"	"v1g79044"
"AM1_000960-T1"	"v1g80480"
"AM1_000960-T1"	"v1g81419"
"AM1_000960-T1"	"v1g81906"
"AM1_000960-T1"	"v1g82053"
"AM1_000960-T1"	"v1g87498"
"AM1_000960-T1"	"v1g90597"
"AM1_000960-T1"	"v1g92024"
"AM1_000960-T1"	"v1g92082"
"AM1_000960-T1"	"v1g92090"
"AM1_000960-T1"	"v1g92150"
"AM1_000960-T1"	"v1g92258"
"AM1_000960-T1"	"v1g92262"
"AM1_000960-T1"	"v1g92265"
"AM1_000960-T1"	"v1g92266"
"AM1_000960-T1"	"v1g94623"
"AM1_000960-T1"	"v1g95608"
"AM1_000960-T1"	"v1g95664"
"AM1_000960-T1"	"v1g95732"
"AM1_000960-T1"	"v1g95788"
"AM1_000960-T1"	"v1g95828"
"AM1_000961-T1"	"NVE281"
"AM1_000961-T1"	"v1g107155"
"AM1_000961-T1"	"v1g107528"
"AM1_000961-T1"	"v1g108972"
"AM1_000961-T1"	"v1g109792"
"AM1_000961-T1"	"v1g113867"
"AM1_000961-T1"	"v1g113913"
"AM1_000961-T1"	"v1g118635"
"AM1_000961-T1"	"v1g123220"
"AM1_000961-T1"	"v1g129798"
"AM1_000961-T1"	"v1g134301"
"AM1_000961-T1"	"v1g138098"
"AM1_000961-T1"	"v1g140550"
"AM1_000961-T1"	"v1g147942"
"AM1_000961-T1"	"v1g150225"
"AM1_000961-T1"	"v1g150226"
"AM1_000961-T1"	"v1g152370"
"AM1_000961-T1"	"v1g153808"
"AM1_000961-T1"	"v1g198298"
"AM1_000961-T1"	"v1g214077"
"AM1_000961-T1"	"v1g216157"
"AM1_000961-T1"	"v1g218034"
"AM1_000961-T1"	"v1g219569"
"AM1_000961-T1"	"v1g222877"
"AM1_000961-T1"	"v1g228530"
"AM1_000961-T1"	"v1g228654"
"AM1_000961-T1"	"v1g48984"
"AM1_000961-T1"	"v1g78851"
"AM1_000961-T1"	"v1g79044"
"AM1_000961-T1"	"v1g80480"
"AM1_000961-T1"	"v1g81419"
"AM1_000961-T1"	"v1g81906"
"AM1_000961-T1"	"v1g82053"
"AM1_000961-T1"	"v1g87498"
"AM1_000961-T1"	"v1g90597"
"AM1_000961-T1"	"v1g92024"
"AM1_000961-T1"	"v1g92082"
"AM1_000961-T1"	"v1g92090"
"AM1_000961-T1"	"v1g92150"
"AM1_000961-T1"	"v1g92258"
"AM1_000961-T1"	"v1g92262"
"AM1_000961-T1"	"v1g92265"
"AM1_000961-T1"	"v1g92266"
"AM1_000961-T1"	"v1g94623"
"AM1_000961-T1"	"v1g95608"
"AM1_000961-T1"	"v1g95664"
"AM1_000961-T1"	"v1g95732"
"AM1_000961-T1"	"v1g95788"
"AM1_000961-T1"	"v1g95828"
"AM1_001149-T1"	"NVE281"
"AM1_001149-T1"	"v1g107155"
"AM1_001149-T1"	"v1g107528"
"AM1_001149-T1"	"v1g108972"
"AM1_001149-T1"	"v1g109792"
"AM1_001149-T1"	"v1g113867"
"AM1_001149-T1"	"v1g113913"
"AM1_001149-T1"	"v1g118635"
"AM1_001149-T1"	"v1g123220"
"AM1_001149-T1"	"v1g129798"
"AM1_001149-T1"	"v1g134301"
"AM1_001149-T1"	"v1g138098"
"AM1_001149-T1"	"v1g140550"
"AM1_001149-T1"	"v1g147942"
"AM1_001149-T1"	"v1g150225"
"AM1_001149-T1"	"v1g150226"
"AM1_001149-T1"	"v1g152370"
"AM1_001149-T1"	"v1g153808"
"AM1_001149-T1"	"v1g198298"
"AM1_001149-T1"	"v1g214077"
"AM1_001149-T1"	"v1g216157"
"AM1_001149-T1"	"v1g218034"
"AM1_001149-T1"	"v1g219569"
"AM1_001149-T1"	"v1g222877"
"AM1_001149-T1"	"v1g228530"
"AM1_001149-T1"	"v1g228654"
"AM1_001149-T1"	"v1g48984"
"AM1_001149-T1"	"v1g78851"
"AM1_001149-T1"	"v1g79044"
"AM1_001149-T1"	"v1g80480"
"AM1_001149-T1"	"v1g81419"
"AM1_001149-T1"	"v1g81906"
"AM1_001149-T1"	"v1g82053"
"AM1_001149-T1"	"v1g87498"
"AM1_001149-T1"	"v1g90597"
"AM1_001149-T1"	"v1g92024"
"AM1_001149-T1"	"v1g92082"
"AM1_001149-T1"	"v1g92090"
"AM1_001149-T1"	"v1g92150"
"AM1_001149-T1"	"v1g92258"
"AM1_001149-T1"	"v1g92262"
"AM1_001149-T1"	"v1g92265"
"AM1_001149-T1"	"v1g92266"
"AM1_001149-T1"	"v1g94623"
"AM1_001149-T1"	"v1g95608"
"AM1_001149-T1"	"v1g95664"
"AM1_001149-T1"	"v1g95732"
"AM1_001149-T1"	"v1g95788"
"AM1_001149-T1"	"v1g95828"
"AM1_001600-T1"	"NVE281"
"AM1_001600-T1"	"v1g107155"
"AM1_001600-T1"	"v1g107528"
"AM1_001600-T1"	"v1g108972"
"AM1_001600-T1"	"v1g109792"
"AM1_001600-T1"	"v1g113867"
"AM1_001600-T1"	"v1g113913"
"AM1_001600-T1"	"v1g118635"
"AM1_001600-T1"	"v1g123220"
"AM1_001600-T1"	"v1g129798"
"AM1_001600-T1"	"v1g134301"
"AM1_001600-T1"	"v1g138098"
"AM1_001600-T1"	"v1g140550"
"AM1_001600-T1"	"v1g147942"
"AM1_001600-T1"	"v1g150225"
"AM1_001600-T1"	"v1g150226"
"AM1_001600-T1"	"v1g152370"
"AM1_001600-T1"	"v1g153808"
"AM1_001600-T1"	"v1g198298"
"AM1_001600-T1"	"v1g214077"
"AM1_001600-T1"	"v1g216157"
"AM1_001600-T1"	"v1g218034"
"AM1_001600-T1"	"v1g219569"
"AM1_001600-T1"	"v1g222877"
"AM1_001600-T1"	"v1g228530"
"AM1_001600-T1"	"v1g228654"
"AM1_001600-T1"	"v1g48984"
"AM1_001600-T1"	"v1g78851"
"AM1_001600-T1"	"v1g79044"
"AM1_001600-T1"	"v1g80480"
"AM1_001600-T1"	"v1g81419"
"AM1_001600-T1"	"v1g81906"
"AM1_001600-T1"	"v1g82053"
"AM1_001600-T1"	"v1g87498"
"AM1_001600-T1"	"v1g90597"
"AM1_001600-T1"	"v1g92024"
"AM1_001600-T1"	"v1g92082"
"AM1_001600-T1"	"v1g92090"
"AM1_001600-T1"	"v1g92150"
"AM1_001600-T1"	"v1g92258"
"AM1_001600-T1"	"v1g92262"
"AM1_001600-T1"	"v1g92265"
"AM1_001600-T1"	"v1g92266"
"AM1_001600-T1"	"v1g94623"
"AM1_001600-T1"	"v1g95608"
"AM1_001600-T1"	"v1g95664"
"AM1_001600-T1"	"v1g95732"
"AM1_001600-T1"	"v1g95788"
"AM1_001600-T1"	"v1g95828"
"AM1_001601-T1"	"NVE281"
"AM1_001601-T1"	"v1g107155"
"AM1_001601-T1"	"v1g107528"
"AM1_001601-T1"	"v1g108972"
"AM1_001601-T1"	"v1g109792"
"AM1_001601-T1"	"v1g113867"
"AM1_001601-T1"	"v1g113913"
"AM1_001601-T1"	"v1g118635"
"AM1_001601-T1"	"v1g123220"
"AM1_001601-T1"	"v1g129798"
"AM1_001601-T1"	"v1g134301"
"AM1_001601-T1"	"v1g138098"
"AM1_001601-T1"	"v1g140550"
"AM1_001601-T1"	"v1g147942"
"AM1_001601-T1"	"v1g150225"
"AM1_001601-T1"	"v1g150226"
"AM1_001601-T1"	"v1g152370"
"AM1_001601-T1"	"v1g153808"
"AM1_001601-T1"	"v1g198298"
"AM1_001601-T1"	"v1g214077"
"AM1_001601-T1"	"v1g216157"
"AM1_001601-T1"	"v1g218034"
"AM1_001601-T1"	"v1g219569"
"AM1_001601-T1"	"v1g222877"
"AM1_001601-T1"	"v1g228530"
"AM1_001601-T1"	"v1g228654"
"AM1_001601-T1"	"v1g48984"
"AM1_001601-T1"	"v1g78851"
"AM1_001601-T1"	"v1g79044"
"AM1_001601-T1"	"v1g80480"
"AM1_001601-T1"	"v1g81419"
"AM1_001601-T1"	"v1g81906"
"AM1_001601-T1"	"v1g82053"
"AM1_001601-T1"	"v1g87498"
"AM1_001601-T1"	"v1g90597"
"AM1_001601-T1"	"v1g92024"
"AM1_001601-T1"	"v1g92082"
"AM1_001601-T1"	"v1g92090"
"AM1_001601-T1"	"v1g92150"
"AM1_001601-T1"	"v1g92258"
"AM1_001601-T1"	"v1g92262"
"AM1_001601-T1"	"v1g92265"
"AM1_001601-T1"	"v1g92266"
"AM1_001601-T1"	"v1g94623"
"AM1_001601-T1"	"v1g95608"
"AM1_001601-T1"	"v1g95664"
"AM1_001601-T1"	"v1g95732"
"AM1_001601-T1"	"v1g95788"
"AM1_001601-T1"	"v1g95828"
"AM1_001604-T1"	"NVE281"
"AM1_001604-T1"	"v1g107155"
"AM1_001604-T1"	"v1g107528"
"AM1_001604-T1"	"v1g108972"
"AM1_001604-T1"	"v1g109792"
"AM1_001604-T1"	"v1g113867"
"AM1_001604-T1"	"v1g113913"
"AM1_001604-T1"	"v1g118635"
"AM1_001604-T1"	"v1g123220"
"AM1_001604-T1"	"v1g129798"
"AM1_001604-T1"	"v1g134301"
"AM1_001604-T1"	"v1g138098"
"AM1_001604-T1"	"v1g140550"
"AM1_001604-T1"	"v1g147942"
"AM1_001604-T1"	"v1g150225"
"AM1_001604-T1"	"v1g150226"
"AM1_001604-T1"	"v1g152370"
"AM1_001604-T1"	"v1g153808"
"AM1_001604-T1"	"v1g198298"
"AM1_001604-T1"	"v1g214077"
"AM1_001604-T1"	"v1g216157"
"AM1_001604-T1"	"v1g218034"
"AM1_001604-T1"	"v1g219569"
"AM1_001604-T1"	"v1g222877"
"AM1_001604-T1"	"v1g228530"
"AM1_001604-T1"	"v1g228654"
"AM1_001604-T1"	"v1g48984"
"AM1_001604-T1"	"v1g78851"
"AM1_001604-T1"	"v1g79044"
"AM1_001604-T1"	"v1g80480"
"AM1_001604-T1"	"v1g81419"
"AM1_001604-T1"	"v1g81906"
"AM1_001604-T1"	"v1g82053"
"AM1_001604-T1"	"v1g87498"
"AM1_001604-T1"	"v1g90597"
"AM1_001604-T1"	"v1g92024"
"AM1_001604-T1"	"v1g92082"
"AM1_001604-T1"	"v1g92090"
"AM1_001604-T1"	"v1g92150"
"AM1_001604-T1"	"v1g92258"
"AM1_001604-T1"	"v1g92262"
"AM1_001604-T1"	"v1g92265"
"AM1_001604-T1"	"v1g92266"
"AM1_001604-T1"	"v1g94623"
"AM1_001604-T1"	"v1g95608"
"AM1_001604-T1"	"v1g95664"
"AM1_001604-T1"	"v1g95732"
