"gene1"	"gene2"
"AM1_000597-T1"	"Sc4wPfr_1127.1.g1466.t1"
"AM1_000597-T1"	"Sc4wPfr_1177.g14242.t1"
"AM1_000597-T1"	"Sc4wPfr_158.g21933.t1"
"AM1_000597-T1"	"Sc4wPfr_177.1.g6134.t1"
"AM1_000597-T1"	"Sc4wPfr_199.g28633.t1"
"AM1_000597-T1"	"Sc4wPfr_208.1.g13291.t1"
"AM1_000597-T1"	"Sc4wPfr_227.g25801.t1"
"AM1_000597-T1"	"Sc4wPfr_237.2.g16172.t1"
"AM1_000597-T1"	"Sc4wPfr_237.2.g16174.t1"
"AM1_000597-T1"	"Sc4wPfr_264.g27468.t1"
"AM1_000597-T1"	"Sc4wPfr_306.g765.t1"
"AM1_000597-T1"	"Sc4wPfr_339.g688.t1"
"AM1_000597-T1"	"Sc4wPfr_356.g7173.t1"
"AM1_000597-T1"	"Sc4wPfr_424.1.g2087.t1"
"AM1_000597-T1"	"Sc4wPfr_4371.g15798.t1"
"AM1_000597-T1"	"Sc4wPfr_548.g4951.t1"
"AM1_000597-T1"	"Sc4wPfr_635.g14762.t1"
"AM1_000597-T1"	"Sc4wPfr_66.g19065.t1"
"AM1_000597-T1"	"Sc4wPfr_667.g19527.t1"
"AM1_000597-T1"	"Sc4wPfr_68.g2368.t1"
"AM1_000597-T1"	"Sc4wPfr_79.4.g4969.t1"
"AM1_000597-T1"	"Sc4wPfr_908.g21222.t1"
"AM1_015774-T1"	"Sc4wPfr_1127.1.g1466.t1"
"AM1_015774-T1"	"Sc4wPfr_1177.g14242.t1"
"AM1_015774-T1"	"Sc4wPfr_158.g21933.t1"
"AM1_015774-T1"	"Sc4wPfr_177.1.g6134.t1"
"AM1_015774-T1"	"Sc4wPfr_199.g28633.t1"
"AM1_015774-T1"	"Sc4wPfr_208.1.g13291.t1"
"AM1_015774-T1"	"Sc4wPfr_227.g25801.t1"
"AM1_015774-T1"	"Sc4wPfr_237.2.g16172.t1"
"AM1_015774-T1"	"Sc4wPfr_237.2.g16174.t1"
"AM1_015774-T1"	"Sc4wPfr_264.g27468.t1"
"AM1_015774-T1"	"Sc4wPfr_306.g765.t1"
"AM1_015774-T1"	"Sc4wPfr_339.g688.t1"
"AM1_015774-T1"	"Sc4wPfr_356.g7173.t1"
"AM1_015774-T1"	"Sc4wPfr_424.1.g2087.t1"
"AM1_015774-T1"	"Sc4wPfr_4371.g15798.t1"
"AM1_015774-T1"	"Sc4wPfr_548.g4951.t1"
"AM1_015774-T1"	"Sc4wPfr_635.g14762.t1"
"AM1_015774-T1"	"Sc4wPfr_66.g19065.t1"
"AM1_015774-T1"	"Sc4wPfr_667.g19527.t1"
"AM1_015774-T1"	"Sc4wPfr_68.g2368.t1"
"AM1_015774-T1"	"Sc4wPfr_79.4.g4969.t1"
"AM1_015774-T1"	"Sc4wPfr_908.g21222.t1"
"AM1_015809-T1"	"Sc4wPfr_1127.1.g1466.t1"
"AM1_015809-T1"	"Sc4wPfr_1177.g14242.t1"
"AM1_015809-T1"	"Sc4wPfr_158.g21933.t1"
