"gene1"	"gene2"
"AM1_000418-T1"	"Res_001362-T1"
"AM1_000418-T1"	"Res_001732-T1"
"AM1_000418-T1"	"Res_001739-T1"
"AM1_000418-T1"	"Res_001740-T1"
"AM1_000418-T1"	"Res_001741-T1"
"AM1_000418-T1"	"Res_002918-T1"
"AM1_000418-T1"	"Res_003619-T1"
"AM1_000418-T1"	"Res_004249-T1"
"AM1_000418-T1"	"Res_005083-T1"
"AM1_000418-T1"	"Res_005532-T1"
"AM1_000418-T1"	"Res_005903-T1"
"AM1_000418-T1"	"Res_006467-T1"
"AM1_000418-T1"	"Res_006760-T1"
"AM1_000418-T1"	"Res_007809-T1"
"AM1_000418-T1"	"Res_007810-T1"
"AM1_000418-T1"	"Res_008386-T1"
"AM1_000418-T1"	"Res_008399-T1"
"AM1_000418-T1"	"Res_008491-T1"
"AM1_000418-T1"	"Res_010103-T1"
"AM1_000418-T1"	"Res_010104-T1"
"AM1_000418-T1"	"Res_010107-T1"
"AM1_000418-T1"	"Res_010108-T1"
"AM1_000418-T1"	"Res_010109-T1"
"AM1_000418-T1"	"Res_010826-T1"
"AM1_000418-T1"	"Res_010827-T1"
"AM1_000418-T1"	"Res_010828-T1"
"AM1_000418-T1"	"Res_010829-T1"
"AM1_000418-T1"	"Res_010830-T1"
"AM1_000418-T1"	"Res_010831-T1"
"AM1_000418-T1"	"Res_011481-T1"
"AM1_000418-T1"	"Res_012096-T1"
"AM1_000418-T1"	"Res_013070-T1"
"AM1_000418-T1"	"Res_013174-T1"
"AM1_000418-T1"	"Res_014151-T1"
"AM1_000418-T1"	"Res_017539-T1"
"AM1_000678-T1"	"Res_001362-T1"
"AM1_000678-T1"	"Res_001732-T1"
"AM1_000678-T1"	"Res_001739-T1"
"AM1_000678-T1"	"Res_001740-T1"
"AM1_000678-T1"	"Res_001741-T1"
"AM1_000678-T1"	"Res_002918-T1"
"AM1_000678-T1"	"Res_003619-T1"
"AM1_000678-T1"	"Res_004249-T1"
"AM1_000678-T1"	"Res_005083-T1"
"AM1_000678-T1"	"Res_005532-T1"
"AM1_000678-T1"	"Res_005903-T1"
"AM1_000678-T1"	"Res_006467-T1"
"AM1_000678-T1"	"Res_006760-T1"
"AM1_000678-T1"	"Res_007809-T1"
"AM1_000678-T1"	"Res_007810-T1"
"AM1_000678-T1"	"Res_008386-T1"
"AM1_000678-T1"	"Res_008399-T1"
"AM1_000678-T1"	"Res_008491-T1"
"AM1_000678-T1"	"Res_010103-T1"
"AM1_000678-T1"	"Res_010104-T1"
"AM1_000678-T1"	"Res_010107-T1"
"AM1_000678-T1"	"Res_010108-T1"
"AM1_000678-T1"	"Res_010109-T1"
"AM1_000678-T1"	"Res_010826-T1"
"AM1_000678-T1"	"Res_010827-T1"
"AM1_000678-T1"	"Res_010828-T1"
"AM1_000678-T1"	"Res_010829-T1"
"AM1_000678-T1"	"Res_010830-T1"
"AM1_000678-T1"	"Res_010831-T1"
"AM1_000678-T1"	"Res_011481-T1"
"AM1_000678-T1"	"Res_012096-T1"
"AM1_000678-T1"	"Res_013070-T1"
"AM1_000678-T1"	"Res_013174-T1"
"AM1_000678-T1"	"Res_014151-T1"
"AM1_000678-T1"	"Res_017539-T1"
"AM1_000960-T1"	"Res_001362-T1"
"AM1_000960-T1"	"Res_001732-T1"
"AM1_000960-T1"	"Res_001739-T1"
"AM1_000960-T1"	"Res_001740-T1"
"AM1_000960-T1"	"Res_001741-T1"
"AM1_000960-T1"	"Res_002918-T1"
"AM1_000960-T1"	"Res_003619-T1"
"AM1_000960-T1"	"Res_004249-T1"
"AM1_000960-T1"	"Res_005083-T1"
"AM1_000960-T1"	"Res_005532-T1"
"AM1_000960-T1"	"Res_005903-T1"
"AM1_000960-T1"	"Res_006467-T1"
"AM1_000960-T1"	"Res_006760-T1"
"AM1_000960-T1"	"Res_007809-T1"
"AM1_000960-T1"	"Res_007810-T1"
"AM1_000960-T1"	"Res_008386-T1"
"AM1_000960-T1"	"Res_008399-T1"
"AM1_000960-T1"	"Res_008491-T1"
"AM1_000960-T1"	"Res_010103-T1"
"AM1_000960-T1"	"Res_010104-T1"
"AM1_000960-T1"	"Res_010107-T1"
"AM1_000960-T1"	"Res_010108-T1"
"AM1_000960-T1"	"Res_010109-T1"
"AM1_000960-T1"	"Res_010826-T1"
"AM1_000960-T1"	"Res_010827-T1"
"AM1_000960-T1"	"Res_010828-T1"
"AM1_000960-T1"	"Res_010829-T1"
"AM1_000960-T1"	"Res_010830-T1"
"AM1_000960-T1"	"Res_010831-T1"
"AM1_000960-T1"	"Res_011481-T1"
"AM1_000960-T1"	"Res_012096-T1"
"AM1_000960-T1"	"Res_013070-T1"
"AM1_000960-T1"	"Res_013174-T1"
"AM1_000960-T1"	"Res_014151-T1"
"AM1_000960-T1"	"Res_017539-T1"
"AM1_000961-T1"	"Res_001362-T1"
"AM1_000961-T1"	"Res_001732-T1"
"AM1_000961-T1"	"Res_001739-T1"
"AM1_000961-T1"	"Res_001740-T1"
"AM1_000961-T1"	"Res_001741-T1"
"AM1_000961-T1"	"Res_002918-T1"
"AM1_000961-T1"	"Res_003619-T1"
"AM1_000961-T1"	"Res_004249-T1"
"AM1_000961-T1"	"Res_005083-T1"
"AM1_000961-T1"	"Res_005532-T1"
"AM1_000961-T1"	"Res_005903-T1"
"AM1_000961-T1"	"Res_006467-T1"
"AM1_000961-T1"	"Res_006760-T1"
"AM1_000961-T1"	"Res_007809-T1"
"AM1_000961-T1"	"Res_007810-T1"
"AM1_000961-T1"	"Res_008386-T1"
"AM1_000961-T1"	"Res_008399-T1"
"AM1_000961-T1"	"Res_008491-T1"
"AM1_000961-T1"	"Res_010103-T1"
"AM1_000961-T1"	"Res_010104-T1"
"AM1_000961-T1"	"Res_010107-T1"
"AM1_000961-T1"	"Res_010108-T1"
"AM1_000961-T1"	"Res_010109-T1"
"AM1_000961-T1"	"Res_010826-T1"
"AM1_000961-T1"	"Res_010827-T1"
"AM1_000961-T1"	"Res_010828-T1"
"AM1_000961-T1"	"Res_010829-T1"
"AM1_000961-T1"	"Res_010830-T1"
"AM1_000961-T1"	"Res_010831-T1"
"AM1_000961-T1"	"Res_011481-T1"
"AM1_000961-T1"	"Res_012096-T1"
"AM1_000961-T1"	"Res_013070-T1"
"AM1_000961-T1"	"Res_013174-T1"
"AM1_000961-T1"	"Res_014151-T1"
"AM1_000961-T1"	"Res_017539-T1"
"AM1_001149-T1"	"Res_001362-T1"
"AM1_001149-T1"	"Res_001732-T1"
"AM1_001149-T1"	"Res_001739-T1"
"AM1_001149-T1"	"Res_001740-T1"
"AM1_001149-T1"	"Res_001741-T1"
"AM1_001149-T1"	"Res_002918-T1"
"AM1_001149-T1"	"Res_003619-T1"
"AM1_001149-T1"	"Res_004249-T1"
"AM1_001149-T1"	"Res_005083-T1"
"AM1_001149-T1"	"Res_005532-T1"
"AM1_001149-T1"	"Res_005903-T1"
"AM1_001149-T1"	"Res_006467-T1"
"AM1_001149-T1"	"Res_006760-T1"
"AM1_001149-T1"	"Res_007809-T1"
"AM1_001149-T1"	"Res_007810-T1"
"AM1_001149-T1"	"Res_008386-T1"
"AM1_001149-T1"	"Res_008399-T1"
"AM1_001149-T1"	"Res_008491-T1"
"AM1_001149-T1"	"Res_010103-T1"
"AM1_001149-T1"	"Res_010104-T1"
"AM1_001149-T1"	"Res_010107-T1"
"AM1_001149-T1"	"Res_010108-T1"
"AM1_001149-T1"	"Res_010109-T1"
"AM1_001149-T1"	"Res_010826-T1"
"AM1_001149-T1"	"Res_010827-T1"
"AM1_001149-T1"	"Res_010828-T1"
"AM1_001149-T1"	"Res_010829-T1"
"AM1_001149-T1"	"Res_010830-T1"
"AM1_001149-T1"	"Res_010831-T1"
"AM1_001149-T1"	"Res_011481-T1"
"AM1_001149-T1"	"Res_012096-T1"
"AM1_001149-T1"	"Res_013070-T1"
"AM1_001149-T1"	"Res_013174-T1"
"AM1_001149-T1"	"Res_014151-T1"
"AM1_001149-T1"	"Res_017539-T1"
"AM1_001600-T1"	"Res_001362-T1"
"AM1_001600-T1"	"Res_001732-T1"
"AM1_001600-T1"	"Res_001739-T1"
"AM1_001600-T1"	"Res_001740-T1"
"AM1_001600-T1"	"Res_001741-T1"
"AM1_001600-T1"	"Res_002918-T1"
"AM1_001600-T1"	"Res_003619-T1"
"AM1_001600-T1"	"Res_004249-T1"
"AM1_001600-T1"	"Res_005083-T1"
"AM1_001600-T1"	"Res_005532-T1"
"AM1_001600-T1"	"Res_005903-T1"
"AM1_001600-T1"	"Res_006467-T1"
"AM1_001600-T1"	"Res_006760-T1"
"AM1_001600-T1"	"Res_007809-T1"
"AM1_001600-T1"	"Res_007810-T1"
"AM1_001600-T1"	"Res_008386-T1"
"AM1_001600-T1"	"Res_008399-T1"
"AM1_001600-T1"	"Res_008491-T1"
"AM1_001600-T1"	"Res_010103-T1"
"AM1_001600-T1"	"Res_010104-T1"
"AM1_001600-T1"	"Res_010107-T1"
"AM1_001600-T1"	"Res_010108-T1"
