"gene1"	"gene2"
"AM1_000418-T1"	"XP_022777998.1"
"AM1_000418-T1"	"XP_022778220.1"
"AM1_000418-T1"	"XP_022778263.1"
"AM1_000418-T1"	"XP_022781434.1"
"AM1_000418-T1"	"XP_022784276.1"
"AM1_000418-T1"	"XP_022785114.1"
"AM1_000418-T1"	"XP_022785529.1"
"AM1_000418-T1"	"XP_022786487.1"
"AM1_000418-T1"	"XP_022786528.1"
"AM1_000418-T1"	"XP_022786673.1"
"AM1_000418-T1"	"XP_022786674.1"
"AM1_000418-T1"	"XP_022786675.1"
"AM1_000418-T1"	"XP_022786695.1"
"AM1_000418-T1"	"XP_022787964.1"
"AM1_000418-T1"	"XP_022787979.1"
"AM1_000418-T1"	"XP_022790924.1"
"AM1_000418-T1"	"XP_022791932.1"
"AM1_000418-T1"	"XP_022792153.1"
"AM1_000418-T1"	"XP_022792154.1"
"AM1_000418-T1"	"XP_022792193.1"
"AM1_000418-T1"	"XP_022794589.1"
"AM1_000418-T1"	"XP_022794592.1"
"AM1_000418-T1"	"XP_022795038.1"
"AM1_000418-T1"	"XP_022795046.1"
"AM1_000418-T1"	"XP_022795049.1"
"AM1_000418-T1"	"XP_022795050.1"
"AM1_000418-T1"	"XP_022795051.1"
"AM1_000418-T1"	"XP_022797000.1"
"AM1_000418-T1"	"XP_022797014.1"
"AM1_000418-T1"	"XP_022798293.1"
"AM1_000418-T1"	"XP_022799215.1"
"AM1_000418-T1"	"XP_022800799.1"
"AM1_000418-T1"	"XP_022800821.1"
"AM1_000418-T1"	"XP_022802246.1"
"AM1_000418-T1"	"XP_022802262.1"
"AM1_000418-T1"	"XP_022802776.1"
"AM1_000418-T1"	"XP_022802812.1"
"AM1_000418-T1"	"XP_022802814.1"
"AM1_000418-T1"	"XP_022802824.1"
"AM1_000418-T1"	"XP_022803248.1"
"AM1_000418-T1"	"XP_022803251.1"
"AM1_000418-T1"	"XP_022803255.1"
"AM1_000418-T1"	"XP_022803261.1"
"AM1_000418-T1"	"XP_022803269.1"
"AM1_000418-T1"	"XP_022803445.1"
"AM1_000418-T1"	"XP_022803936.1"
"AM1_000418-T1"	"XP_022803937.1"
"AM1_000418-T1"	"XP_022804268.1"
"AM1_000418-T1"	"XP_022804269.1"
"AM1_000418-T1"	"XP_022804739.1"
"AM1_000418-T1"	"XP_022804742.1"
"AM1_000418-T1"	"XP_022804914.1"
"AM1_000418-T1"	"XP_022804915.1"
"AM1_000418-T1"	"XP_022805222.1"
"AM1_000418-T1"	"XP_022807663.1"
"AM1_000418-T1"	"XP_022807759.1"
"AM1_000418-T1"	"XP_022807760.1"
"AM1_000418-T1"	"XP_022807763.1"
"AM1_000418-T1"	"XP_022807767.1"
"AM1_000418-T1"	"XP_022808595.1"
"AM1_000418-T1"	"XP_022808596.1"
"AM1_000418-T1"	"XP_022808597.1"
"AM1_000418-T1"	"XP_022809050.1"
"AM1_000418-T1"	"XP_022809056.1"
"AM1_000418-T1"	"XP_022809161.1"
"AM1_000418-T1"	"XP_022809249.1"
"AM1_000418-T1"	"XP_022809807.1"
"AM1_000418-T1"	"XP_022810122.1"
"AM1_000418-T1"	"XP_022810124.1"
"AM1_000418-T1"	"XP_022810346.1"
"AM1_000418-T1"	"XP_022810368.1"
"AM1_000418-T1"	"XP_022810369.1"
"AM1_000418-T1"	"XP_022810491.1"
"AM1_000418-T1"	"XP_022810506.1"
"AM1_000418-T1"	"XP_022810648.1"
"AM1_000418-T1"	"XP_022810652.1"
"AM1_000678-T1"	"XP_022777998.1"
"AM1_000678-T1"	"XP_022778220.1"
"AM1_000678-T1"	"XP_022778263.1"
"AM1_000678-T1"	"XP_022781434.1"
"AM1_000678-T1"	"XP_022784276.1"
"AM1_000678-T1"	"XP_022785114.1"
"AM1_000678-T1"	"XP_022785529.1"
"AM1_000678-T1"	"XP_022786487.1"
"AM1_000678-T1"	"XP_022786528.1"
"AM1_000678-T1"	"XP_022786673.1"
"AM1_000678-T1"	"XP_022786674.1"
"AM1_000678-T1"	"XP_022786675.1"
"AM1_000678-T1"	"XP_022786695.1"
"AM1_000678-T1"	"XP_022787964.1"
"AM1_000678-T1"	"XP_022787979.1"
"AM1_000678-T1"	"XP_022790924.1"
"AM1_000678-T1"	"XP_022791932.1"
"AM1_000678-T1"	"XP_022792153.1"
"AM1_000678-T1"	"XP_022792154.1"
"AM1_000678-T1"	"XP_022792193.1"
"AM1_000678-T1"	"XP_022794589.1"
"AM1_000678-T1"	"XP_022794592.1"
"AM1_000678-T1"	"XP_022795038.1"
"AM1_000678-T1"	"XP_022795046.1"
"AM1_000678-T1"	"XP_022795049.1"
"AM1_000678-T1"	"XP_022795050.1"
"AM1_000678-T1"	"XP_022795051.1"
"AM1_000678-T1"	"XP_022797000.1"
"AM1_000678-T1"	"XP_022797014.1"
"AM1_000678-T1"	"XP_022798293.1"
"AM1_000678-T1"	"XP_022799215.1"
"AM1_000678-T1"	"XP_022800799.1"
"AM1_000678-T1"	"XP_022800821.1"
"AM1_000678-T1"	"XP_022802246.1"
"AM1_000678-T1"	"XP_022802262.1"
"AM1_000678-T1"	"XP_022802776.1"
"AM1_000678-T1"	"XP_022802812.1"
"AM1_000678-T1"	"XP_022802814.1"
"AM1_000678-T1"	"XP_022802824.1"
"AM1_000678-T1"	"XP_022803248.1"
"AM1_000678-T1"	"XP_022803251.1"
"AM1_000678-T1"	"XP_022803255.1"
"AM1_000678-T1"	"XP_022803261.1"
"AM1_000678-T1"	"XP_022803269.1"
"AM1_000678-T1"	"XP_022803445.1"
"AM1_000678-T1"	"XP_022803936.1"
"AM1_000678-T1"	"XP_022803937.1"
"AM1_000678-T1"	"XP_022804268.1"
"AM1_000678-T1"	"XP_022804269.1"
"AM1_000678-T1"	"XP_022804739.1"
"AM1_000678-T1"	"XP_022804742.1"
"AM1_000678-T1"	"XP_022804914.1"
"AM1_000678-T1"	"XP_022804915.1"
"AM1_000678-T1"	"XP_022805222.1"
"AM1_000678-T1"	"XP_022807663.1"
"AM1_000678-T1"	"XP_022807759.1"
"AM1_000678-T1"	"XP_022807760.1"
"AM1_000678-T1"	"XP_022807763.1"
"AM1_000678-T1"	"XP_022807767.1"
"AM1_000678-T1"	"XP_022808595.1"
"AM1_000678-T1"	"XP_022808596.1"
"AM1_000678-T1"	"XP_022808597.1"
"AM1_000678-T1"	"XP_022809050.1"
"AM1_000678-T1"	"XP_022809056.1"
"AM1_000678-T1"	"XP_022809161.1"
"AM1_000678-T1"	"XP_022809249.1"
"AM1_000678-T1"	"XP_022809807.1"
"AM1_000678-T1"	"XP_022810122.1"
"AM1_000678-T1"	"XP_022810124.1"
"AM1_000678-T1"	"XP_022810346.1"
"AM1_000678-T1"	"XP_022810368.1"
"AM1_000678-T1"	"XP_022810369.1"
"AM1_000678-T1"	"XP_022810491.1"
"AM1_000678-T1"	"XP_022810506.1"
"AM1_000678-T1"	"XP_022810648.1"
"AM1_000678-T1"	"XP_022810652.1"
"AM1_000960-T1"	"XP_022777998.1"
"AM1_000960-T1"	"XP_022778220.1"
"AM1_000960-T1"	"XP_022778263.1"
"AM1_000960-T1"	"XP_022781434.1"
"AM1_000960-T1"	"XP_022784276.1"
"AM1_000960-T1"	"XP_022785114.1"
"AM1_000960-T1"	"XP_022785529.1"
"AM1_000960-T1"	"XP_022786487.1"
"AM1_000960-T1"	"XP_022786528.1"
"AM1_000960-T1"	"XP_022786673.1"
"AM1_000960-T1"	"XP_022786674.1"
"AM1_000960-T1"	"XP_022786675.1"
"AM1_000960-T1"	"XP_022786695.1"
"AM1_000960-T1"	"XP_022787964.1"
"AM1_000960-T1"	"XP_022787979.1"
"AM1_000960-T1"	"XP_022790924.1"
"AM1_000960-T1"	"XP_022791932.1"
"AM1_000960-T1"	"XP_022792153.1"
"AM1_000960-T1"	"XP_022792154.1"
"AM1_000960-T1"	"XP_022792193.1"
"AM1_000960-T1"	"XP_022794589.1"
"AM1_000960-T1"	"XP_022794592.1"
"AM1_000960-T1"	"XP_022795038.1"
"AM1_000960-T1"	"XP_022795046.1"
"AM1_000960-T1"	"XP_022795049.1"
"AM1_000960-T1"	"XP_022795050.1"
"AM1_000960-T1"	"XP_022795051.1"
"AM1_000960-T1"	"XP_022797000.1"
"AM1_000960-T1"	"XP_022797014.1"
"AM1_000960-T1"	"XP_022798293.1"
"AM1_000960-T1"	"XP_022799215.1"
"AM1_000960-T1"	"XP_022800799.1"
"AM1_000960-T1"	"XP_022800821.1"
"AM1_000960-T1"	"XP_022802246.1"
"AM1_000960-T1"	"XP_022802262.1"
"AM1_000960-T1"	"XP_022802776.1"
"AM1_000960-T1"	"XP_022802812.1"
"AM1_000960-T1"	"XP_022802814.1"
"AM1_000960-T1"	"XP_022802824.1"
"AM1_000960-T1"	"XP_022803248.1"
"AM1_000960-T1"	"XP_022803251.1"
"AM1_000960-T1"	"XP_022803255.1"
"AM1_000960-T1"	"XP_022803261.1"
"AM1_000960-T1"	"XP_022803269.1"
"AM1_000960-T1"	"XP_022803445.1"
"AM1_000960-T1"	"XP_022803936.1"
"AM1_000960-T1"	"XP_022803937.1"
"AM1_000960-T1"	"XP_022804268.1"
"AM1_000960-T1"	"XP_022804269.1"
"AM1_000960-T1"	"XP_022804739.1"
"AM1_000960-T1"	"XP_022804742.1"
"AM1_000960-T1"	"XP_022804914.1"
